,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.8957863770516433,1.4841247009242361e-06,0.9465752592911199,0.054603983877360845,0.013707918774325265,0.07429414585797489
Group2,0.2729404522369837,0.8107820836833075,0.2614954263799577,0.12598309870785893,0.057777979227750235,0.002964407027489649
Group3,1.6421557496077165e-06,0.18738547038336698,0.010421574844928524,0.006690950298876308,0.017206967078975354,0.015272528547961373
Group4,6.305648222861945e-06,0.028653009734640706,0.016549671127833048,0.01046560536991808,0.034487431252960325,1.2229111717114376e-05
Group5,1.0004638766738715e-07,0.0002290461372986306,0.00023372703469685938,0.007107074643493081,0.0001918948895571071,0.00010545819137517227
Group6,1.0000000000000622e-07,0.0004969118752210076,1.2693775554233995e-05,0.003082246970961171,0.021481628911942698,0.0007984002799020948
