,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.8966614103092662,7.844816032800763e-06,0.9150457102368063,0.022649259310662015,0.007256077017637382,0.19609871318548264
Group2,0.23031040549138854,0.7425018272561429,0.30538788310902554,0.10575537883751192,0.056017654543997236,0.2318906639847684
Group3,0.0005054027352676804,0.18643668209023534,0.0001878250230435817,0.0009399737519992008,0.0037029565365618326,0.043632233014275254
Group4,1.682356594127611e-05,0.03010658721593399,0.010948097893043317,0.0010050584618864701,2.571763403941146e-07,0.00493154023259169
Group5,1.0042558158520063e-07,0.00041606699834056943,0.0011240497638776432,0.002041380944334905,0.004915411075031879,0.0016910697947837056
Group6,1.0000143236095223e-07,0.0004999148501047259,3.429155197693273e-05,0.003286299845488968,0.008909107921372795,0.00021100160401080087
