,0
V1,0.0
V2,834716.7508066616
V3,1767139.5211922026
V4,1018811.2613207044
V5,965221.2096887084
V6,1597154.8424472883
S1,366426.158317134
S2,403468.8207694239
S3,1769196.484337609
S4,2396761.659394585
S5,6324982.379950213
S6,45656397.0603971
E1,41.41556949356636
E2,20.97687914415958
E3,17.688783070447823
E4,4.010713320231484
E5,8.258747404567508
E6,14.887898886905782
I1,89.20297470990565
I2,65.66779650546852
I3,49.96788183557163
I4,11.119253072503714
I5,20.563274413139315
I6,37.74125910486443
R1,611.6069733980178
R2,1816.4520318467373
R3,11384.315866036684
R4,61774.85865407307
R5,670744.6999646283
R6,825458.499757717
