V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,834716.7508066616,1767139.5211922026,1018811.2613207044,965221.2096887084,1597154.8424472883,366426.158317134,403468.8207694239,1769196.484337609,2396761.659394585,6324982.379950213,45656397.0603971,41.41556949356636,20.97687914415958,17.688783070447823,4.010713320231484,8.258747404567508,14.887898886905782,89.20297470990565,65.66779650546852,49.96788183557163,11.119253072503714,20.563274413139315,37.74125910486443,611.6069733980178,1816.4520318467373,11384.315866036684,61774.85865407307,670744.6999646283,825458.499757717
0.0,827932.658067115,1761808.2669790634,1017377.3768783249,962317.7412968347,1575019.60465444,353544.22740945185,401436.61191859504,1769455.5858199536,2401073.3083447698,6343638.933384813,45635059.431271225,17.206534079465836,2.3814599665234693,3.2947258629065237,4.486613740994972,6.393057527982086,3.339503810509676,72.75029515239942,48.233352763536644,35.637803833582566,13.10841912381238,21.14121801373069,27.496278342053124,579.3325419385147,1849.5333880137532,11195.101610193298,60240.239951799995,660923.080522649,822232.2330524557
0.0,819924.5010700834,1756191.2780855834,1015884.4497506286,959455.9122497773,1553277.605788793,342642.5457346629,399184.01768788364,1769575.4070194678,2405255.141031698,6362087.190295295,45613530.077681124,15.124319784078379,1.5829435037710546,3.07622939794374,7.432718118408741,10.798629224226561,4.199113044495411,56.03576803605949,29.509396109447092,22.122595747774785,17.775729240681724,26.369790511501087,19.0466402137342,535.9518261116068,1856.1331722497832,10998.216092546889,58748.301727208636,651234.3250250844,818949.3320990212
0.0,811039.289407768,1750234.7555424995,1014328.2200134041,956633.4364798868,1531921.7714299185,333420.92946463707,396737.32297020196,1769548.0140999923,2409297.732708892,6380314.703775052,45591809.24077215,13.486293119331238,2.0495673890389465,4.37359075696958,13.792839919152103,20.576146795419916,7.452246013699653,46.62864844420471,20.879171016630345,17.477732694785935,28.960889826555736,43.07689322750342,19.992085252581504,489.76795936806496,1844.0110404064299,10799.3532193291,57301.57769266842,641684.4380463,815618.4690377283
0.0,801559.5925633216,1743904.8916658754,1012703.6977164072,953847.9884591596,1510945.1414165832,325618.842362205,394120.699343692,1769362.3549019683,2413182.2473794576,6398294.5225102445,45569891.65012747,12.795931218468827,3.234117637532786,7.479959116258063,26.764599809614136,40.54929716782686,14.353562238975613,41.119103279665254,18.32980731610411,19.875757736823555,53.26301513075072,80.76074062685811,30.974005656951007,445.25708457965544,1820.855949088126,10604.308794658842,55906.825053882916,632285.4557512332,812249.3800864255
0.0,791713.7683790579,1737183.825500195,1011005.5556987992,951097.1933817165,1490340.8673219155,319014.3718753517,391356.17106574227,1769005.3994870826,2416881.4869324593,6415986.397000325,45547767.207982734,13.40918981220087,5.322505444215744,12.971737672114429,48.643797184133554,74.27315607673323,26.09701660142207,39.278067981425416,20.29362441743361,29.81902881099951,99.58326950712483,153.05574350313285,55.42243920615805,405.0384560913708,1792.0988335391723,10418.597508755094,54577.58761014054,623059.7616675616,808853.7657018892
0.0,781685.0329679026,1730066.303920826,1009228.4325309593,948378.6247116154,1470102.20992701,313421.3283833093,388465.60587939864,1768467.986310461,2420381.292904254,6433369.452308733,45525432.43992765,14.477820185173737,7.641263415251368,19.124094200743027,72.85527929803102,111.69707999984728,39.1241277579302,40.556893746853845,25.698106705500674,46.44310307928445,167.75749368690626,259.91925922353056,92.69535523436645,371.2154364041054,1762.3385110508077,10248.09593114857,53332.14086396251,614037.5605933104,805445.3937720729
0.0,771619.7170694824,1722557.0497157394,1007367.1632998635,945689.8072489047,1450222.5367458642,308689.04554341367,385474.57037505705,1767755.8203875455,2423722.506608495,6450507.484564031,45502913.40041557,13.398545502108162,8.173521084090009,20.690288626942188,79.24140170027908,121.82144072385016,42.600419879705136,41.114127857195726,30.921096863429096,61.58183800833175,228.0438654129859,355.459986326377,126.3463483875182,343.9224824387739,1734.3052956268698,10095.217746731261,52176.772775072866,605231.0935985015,802031.4513447428
0.0,761634.5976463944,1714668.7330705847,1005416.9547174874,943028.2242677776,1430695.3196399822,304695.67932261655,382411.309794722,1766887.4867479664,2426993.0471074358,6467539.011223197,45480262.49901495,8.819417591783221,5.7750150826845505,14.650201916362484,56.188243919122364,86.59422951096617,30.26613940559792,35.305711486083204,30.360590675454215,62.17795505782742,231.48047541957268,363.1638805042136,129.26479301897317,319.1484445406229,1706.1287534231765,9952.591002221283,51081.24030268262,596595.4623623777,798598.7288086541
0.0,751821.902801565,1706420.1601679928,1003373.5153000717,940391.3276065085,1411514.132549755,301331.4190689374,379297.6822912349,1765869.8678038171,2430232.559164759,6484531.488359159,45457507.91925617,3.7392646245219314,2.5459601750720116,6.428850628456205,24.641009870246936,38.07499100558586,13.318350607737623,23.401767549763143,22.89813920524437,46.33585116053526,171.7870173423971,271.82879116963784,97.24201273320269,291.00147110804323,1671.9294342221422,9805.368691078453,49988.22258661928,588041.3109791575,795117.7540219037
0.0,742252.0802575882,1697834.4668729878,1001233.1435885925,937776.549750596,1392672.6493607587,298492.79225320014,376146.23800794384,1764689.2957981168,2433397.9729285594,6501425.640936146,45434633.86283358,1.2458169129863816,0.8535569002173656,2.157359376577106,8.259644900549217,12.784725013691236,4.4774716839695605,12.256810235575456,13.808944170158588,27.092460594704267,99.40429214494098,159.04568319247912,57.36428758839911,257.85798435383737,1627.5607308401643,9644.347165935236,48863.58918525517,579512.6628458232,791570.089750345
0.0,732976.871174803,1688937.6404510934,998992.7788807398,935181.3170308725,1374164.641915168,296092.1213660323,372967.610091884,1763331.2645083289,2436439.865801865,6518150.592040875,45411620.08776342,0.7890856365653721,0.5085864257950807,1.327387662153773,5.0899101458181235,7.863762099487146,2.7506923757089803,6.0656392908455645,7.610718612667771,14.663267743206974,53.20898625204097,86.00227417994526,31.269785275163986,223.22082964085163,1573.9272412373148,9471.58808951887,47716.68234762089,571020.8289841667,787960.7762964033
0.0,724033.2544022553,1679757.5448024655,996650.0306939741,932603.0625176938,1355984.1178162,294033.97009241773,369774.00969043316,1761790.006675986,2439339.524500557,6534681.315236438,45388466.621753894,0.9410042346037916,0.5927354196324545,1.5782829847979727,6.066218231122739,9.369575389649441,3.2682290728764536,3.7919575759864603,4.617930396732491,9.169817048847484,33.269545799398195,53.83142666466262,19.582546741123902,191.01539194914315,1514.4618514012277,9293.328169498498,46572.04241361965,562602.3039196739,784304.1049212504
0.0,714932.203524186,1670320.6095778926,994204.8682124175,930039.0454092749,1338166.0985522417,285155.8001699287,366519.9549964543,1760071.2857163243,2442094.336229872,6551009.14593361,45366570.321216,1.264758996221969,0.823834915349134,2.219635396111531,8.570871719125051,13.257196814031504,4.595177071767235,3.4531642236205022,3.6357711971111906,7.764922817316185,28.61551392937414,45.86728409992211,16.502281331827103,163.0820372326133,1452.3047956262978,9114.155059945328,45446.98850653827,554283.430915568,780635.0093236257
0.0,705295.7308996265,1660600.328741059,991653.8983583204,927486.9871649719,1320662.1423540716,277636.1187797873,363143.8440787608,1758162.4576615782,2444690.430489662,6567123.698195312,45344528.56243211,1.9349342405559342,1.3211617236954907,3.604520253432622,14.001713930988139,21.69796779077813,7.46133009953954,4.267512382222281,3.996282090867859,9.196627837051457,34.608028050061804,54.9030036421257,19.42242641985135,139.84576689694103,1389.6401832576,8936.73973723364,44351.24691709077,546079.8047408808,776936.2944666538
0.0,695340.792903652,1650580.1079378785,988995.0285334928,924944.3942577782,1303466.405804563,271267.99088788946,359666.118503035,1756056.1023307224,2447108.122845176,6582997.253916072,45322334.73622814,3.4132200318615804,2.4251612899256108,6.695207038662437,26.1390015055028,40.57998272919881,13.864984793601133,6.609087141121056,5.907251849322871,14.332107193153494,54.79472127330193,86.46581407380016,30.151046106274322,121.54495981242347,1328.4136965427278,8763.671500528098,43293.95813783632,538006.1066222534,773214.8438230609
0.0,685241.1392525266,1640255.258987424,986226.0324140633,922408.7897933268,1286573.1592330039,265870.3752024118,356104.3126550011,1753740.5626573504,2449309.7618749896,6598573.372088913,45299973.106628634,6.456636281064008,4.715846091574005,13.153178273877598,51.53682596314319,80.14533777532165,27.262701658414144,11.809748172138976,10.500967564623338,26.2934274744717,101.44869514935367,159.8862808791707,55.25311534117587,109.06590232017669,1271.0891163761887,8599.256548861593,42290.70548095047,530087.4876604778,769481.1770187017
0.0,675134.3570156882,1629630.2921338892,983344.768604525,919877.7128303082,1269976.7603614728,261288.08504013607,352473.11202063056,1751200.1121153957,2451239.7338751606,6613766.104585629,45277417.62214651,11.619651820905082,8.637165923200595,24.294197304866582,95.43167110995165,148.66275276698826,50.41531324571922,21.72299993012326,19.5466934211688,49.75821004011901,192.8817906608537,304.28120346470564,104.64436374489297,104.48300711155142,1221.4809508237595,8451.30303257847,41370.29738039988,522370.69909655576,765753.3536784396
0.0,665128.0765278136,1618716.725091556,980349.3421064815,917348.7214903933,1253671.6528033074,257392.6589818344,348787.9663187187,1748425.6368015343,2452866.2078509987,6628524.507543647,45254653.65138957,17.37360521074258,13.06299927307087,36.97822907698491,145.51934104103464,227.11345468396576,76.85700028800457,36.14897607679242,33.26840249623695,85.14754461834477,330.7102478226661,522.9676767955087,179.47244842511404,110.43929611305538,1184.6479015508012,8330.47886548898,40571.99771369484,514920.48189389874,762055.8885124592
0.0,655306.3075253139,1607531.5208526235,977238.2212971043,914819.3988284882,1237652.3646276034,254088.0050430902,345072.303842957,1745436.7716893246,2454268.68087906,6642970.980616552,45231724.900612146,18.93277302667035,14.358294186249477,40.8002171972523,160.7465467346717,251.40637456226668,84.97350782722735,48.37293147371861,46.15092642505305,117.55563372937594,456.50188365630686,724.6593405634368,248.72409918483794,126.57928922605727,1163.6136216594018,8241.894826567544,39912.56135327486,507767.8174255071,758402.1493279898
0.0,645735.537312417,1596096.0857898318,974010.3250077938,912287.360633532,1221913.5070076277,251303.98192147928,341356.2297105945,1742279.3945180015,2455628.434221515,6657391.321313733,45208730.8404873,13.463591641807575,10.297633983232751,29.269546888180603,115.36771097923096,180.87042021465345,61.121846149847336,47.80854814312743,48.291979415264066,121.04786470159918,468.85849814076016,748.5332272649282,257.60114008090864,145.10362620717845,1153.6288604570345,8171.707728342905,39334.653228361574,500826.3158641383,754765.4354473836
0.0,636467.8806414169,1584435.2196660654,970665.0866826758,909750.2645918007,1206449.7729650324,248970.59694481504,337660.1226652785,1738976.3601364722,2457033.303421203,6671931.753924677,45185725.2291224,5.920403544258469,4.574006923909362,12.949805133207645,51.01986229253475,80.20974300064941,27.13515133179517,33.8872167346266,37.37403728926987,91.05637610655572,350.675698375126,564.5247834329091,195.40513816031827,154.2972567501988,1142.589330614633,8090.721512574434,38722.75193834506,493912.9391728962,751085.0660892355
0.0,627541.0555280071,1572575.6843142053,967202.4903846676,907205.8202656221,1191255.9362171297,247009.58091845503,333988.8191118654,1735507.9289317576,2458399.5753883994,6686471.163879951,45162672.23877673,2.007812973308247,1.5401206336686568,4.366695613768166,17.195541583100283,27.08709374957506,9.17706936318674,18.329459984637097,22.724093204875278,53.41953344567692,203.8462107067575,331.7884520927706,115.87213468178012,149.56363383442385,1121.1421565667415,7980.471890348857,38006.08943391614,486909.72535127366,747321.0654388352
