,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.11052940963504314,1.999989663858642,1.9305422915808206,0.0007056978970055728,0.035783232397543156,1.0825732444399974
Group2,1.0031915322203046e-07,0.0013390836442495298,0.001207490298205062,0.27389209003524545,0.6417919350055239,0.1846056864774794
Group3,1.089809909408846e-07,0.013792610303090135,0.16851821086692714,0.1480530293184549,0.3357307796171908,0.06335786173865378
Group4,0.001996170979857715,2.1639688081069683e-06,0.0310901307043887,0.6057209979884703,0.8616161158857946,0.11251456408139632
Group5,1.5480376858730981e-06,0.0028256010147859507,0.010316262545872703,0.40466265209827024,0.418773643432108,0.007584341909647402
Group6,1.1505019965501196e-05,0.0005388875142667364,9.76484352537773e-05,0.007965869416822991,0.036716991928438025,0.02473684752152289
