,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.21049155218136018,1.9993592142767869,1.9982705779967966,0.0008738801470883139,2.9256666518879832e-06,1.876377189459774
Group2,1.0133888264118393e-07,0.00022395820611125714,0.02895204960863783,0.5075969334595526,0.022024542692383294,0.07506281584620667
Group3,4.06799366329365e-06,5.6343506705042066e-05,0.20264771881306515,0.23751237827856136,0.0006616279353606258,0.41362615552039317
Group4,1.1136983220445701e-06,1.8100211941682403e-06,2.4437861992885494e-05,0.9768531623668704,0.41047382589481957,0.00041749595322630105
Group5,0.01948396825974987,4.267901196025058e-06,0.17986034207111806,1.1092609051159975e-07,0.8159523835964094,0.00042182600012894014
Group6,1.0098518500383653e-07,3.065959408873431e-06,0.0003751851095091972,0.002585057637589918,1.724950182654253e-05,0.08184655342493459
