,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.28715092261457786,1.0000000000000001e-07,0.0010120062671244775,1.9999970947815544,0.768420056155477,1.0533955949545602e-07
Group2,1.0000000000000001e-07,1.9999999999999998,1.0000000000213313e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.9999999999999998
Group3,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.25441968569551826,1.3643842705912481
Group4,1.0000000000000001e-07,0.00831787266648795,1.0000000000000001e-07,1.0078591579943161,1.0000000000000001e-07,1.000000000007355e-07
Group5,1.0000000000000001e-07,0.18502320437747743,1.0000000000000001e-07,1.0000000000000001e-07,0.2805181306409022,1.9999999999999996
Group6,1.0000000000000001e-07,0.08954975903203351,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.3339148538386158
