V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,450524.05944591144,1133133.95149482,788574.9769931288,804222.6609186421,777025.6992101547,196199.49157999264,197842.53100694693,1462843.185447957,2312570.1161503787,6733668.94804651,43849941.04745973,13.759811156789638,9.036487454089293,49.548650275454904,134.01249057433523,1068.9544184760698,307.0840244773008,26.457807600821905,27.391575362928506,123.29605008543408,326.1721928139237,2579.3221655758766,811.1031695873439,1370.9111199273648,6154.725254886083,23968.045598716148,74662.52228613522,605312.5144210997,720967.2674113762
0.0,448738.48907825636,1122983.270039082,801400.4188847768,800709.3504090605,768896.917495583,196220.29234443887,196308.2075688426,1454931.5734833155,2289289.4589642594,6742254.873434419,43814567.51780203,56.29190431932301,18.696357859533684,79.02783123064924,151.25656038792593,515.1894749753114,280.255135625167,93.27429201483646,46.635357136048256,199.47780146534183,416.7744638888828,2368.6194903497453,897.9471798834827,1195.617633568016,6007.962448659764,23747.371053720548,73320.26350095066,599010.1040999072,718925.5326426085
0.0,447077.46743957774,1113058.0526011528,813446.4439773556,797538.6244129258,760894.8993642033,196202.5855174076,194800.73979015136,1447010.7079911958,2266519.5157327196,6750196.654113451,43778877.375629954,68.1864499038993,29.479359737451492,72.56716665469088,183.6557766423409,483.0100258919995,390.40734928581367,153.5343664974209,81.61692166878379,236.14585918172529,516.1576170207379,1985.9041703273656,1073.6725334806113,1102.9620599622135,5872.48028162526,23577.035803809253,72091.10484256524,592432.371502875,716943.8591852908
0.0,445528.3598119308,1103357.2633657642,824746.2446957247,794686.3265790442,753019.9649592218,196171.04397388725,193316.15800979178,1439078.2443060614,2244272.6113319257,6757458.262462691,43742793.13439476,72.4595305449706,40.157108788519125,68.14160746319165,203.19623647350556,498.86988873035756,520.8922837230062,189.05450043822174,122.47313495406775,241.33489067825357,610.3716715343401,1829.0223808681496,1403.3087176892602,1062.3732050280378,5767.280474744578,23420.097454864983,70978.20882543952,585714.4296568466,715148.8971543013
0.0,444083.2638407312,1093879.4896640633,835331.6924701558,792129.5665953229,745272.2342423867,196151.8958682347,191866.17944499853,1431132.7162680945,2222599.7354895333,6764067.368605024,43706431.836513355,68.30021159915036,45.89295324714411,64.53308546016468,196.83627250199464,505.12229233285996,600.5087837135875,200.71692381495416,157.41383916927418,237.86879092409404,660.2217739178433,1793.0362630787524,1757.7585026319482,1046.649606315358,5696.7929034491435,23262.928954726685,69957.63933049026,579013.457909728,713621.6468950098
0.0,442738.5451918558,1084623.6857641407,845233.5422635145,789846.6635492876,737651.641005784,196166.17149951422,190471.84633806383,1423187.4745615053,2201557.8505350538,6770172.868079147,43670067.19085975,56.838057751096606,44.12205474717815,57.43797076773636,165.38236673404518,466.0639542608626,586.3637336420127,188.56171809641702,173.98790808791227,226.56023357048883,637.7856664258223,1741.1118929963775,1961.7570326746015,1032.8278994270893,5650.563176612078,23101.258953244447,68975.44471761797,572374.2969543689,712304.4887797675
0.0,441492.84845560294,1075589.4230735719,854481.6036359052,787817.0951478435,730157.9461750586,196218.44215304192,189148.7981191884,1415257.5045981323,2181160.4650661564,6775919.940440546,43633933.25273388,43.0974351230598,37.304563437015105,47.37220180740399,124.88012880064872,391.54715278785136,503.780777255931,159.24237488891887,168.19028469784735,203.88552932720904,551.8128542359791,1593.7989078392648,1930.9521706751466,1004.0128209307343,5608.112714840147,22927.552911111557,67970.11255885822,565741.5472041453,711020.5020564442
0.0,440344.2022149595,1066776.5107023707,863104.7065866903,786021.4496061117,722790.750455075,196296.1469702848,187897.8948599595,1407345.9133331086,2161366.4436041024,6781335.951010929,43598074.366985425,32.331302838801975,30.38064363845112,38.547310737707626,92.29814766399065,321.8428343314164,416.9167608393046,125.5884467650727,147.99703221769568,174.51081786605664,441.88178820927294,1379.6178182963552,1735.5153027137412,954.1358731637819,5550.220150891114,22733.532173680123,66903.94352695884,559038.2624399309,709589.2829943552
0.0,439288.2636244974,1058184.4076589332,871130.5758584696,784441.3767359686,715549.5063363299,196380.90620040483,186709.31692723284,1399445.1366502757,2142110.8866719604,6786346.449420367,43562381.87504133,26.531348710445585,26.473729628069826,34.02949039627883,73.84338076197943,285.6723695347217,369.3589522474301,98.69615527992418,126.10698353435893,148.52395488367816,346.7968885165123,1184.026291898229,1518.0672595705828,888.0260753610056,5468.129501681601,22517.19143657738,65775.5758029865,552242.9996734874,707931.7038504059
0.0,438318.4350146606,1049811.8771032863,878585.7752660133,783059.5382245716,708433.5294653344,196458.0774955818,185570.8819710796,1391544.8452658472,2123334.516820994,6790847.857263217,43526702.98151793,25.15894465216433,26.168597172234616,34.43218035009047,67.49487383753214,289.5521521516807,371.28854788144315,83.15471974488258,111.49265663711654,133.66471285393547,284.5745041551943,1073.9435031757123,1386.260916755725,815.8834741620099,5364.282769104719,22284.34301625668,64608.12699502045,545403.3096433169,706081.2898960991
