,0
V1,0.0
V2,450524.05944591144
V3,1133133.95149482
V4,788574.9769931288
V5,804222.6609186421
V6,777025.6992101547
S1,196199.49157999264
S2,197842.53100694693
S3,1462843.185447957
S4,2312570.1161503787
S5,6733668.94804651
S6,43849941.04745973
E1,13.759811156789638
E2,9.036487454089293
E3,49.548650275454904
E4,134.01249057433523
E5,1068.9544184760698
E6,307.0840244773008
I1,26.457807600821905
I2,27.391575362928506
I3,123.29605008543408
I4,326.1721928139237
I5,2579.3221655758766
I6,811.1031695873439
R1,1370.9111199273648
R2,6154.725254886083
R3,23968.045598716148
R4,74662.52228613522
R5,605312.5144210997
R6,720967.2674113762
