,0
V1,0.0
V2,407306.6657035423
V3,1006804.3752812283
V4,879099.4544407774
V5,769425.2669907807
V6,684222.4582439238
S1,195248.1495533538
S2,204638.2222140263
S3,1382677.1693869221
S4,2080542.662538296
S5,7012628.6028165305
S6,43482571.93480896
E1,113.42544280960253
E2,25.769658459930838
E3,103.41816119886442
E4,384.73599006718763
E5,937.0116220107288
E6,368.0682017233428
I1,237.45994119984766
I2,92.14821741449327
I3,252.20007527217564
I4,942.648632989607
I5,2197.164189228368
I6,877.4445801054289
R1,1757.738321540592
R2,11360.333345542213
R3,25835.909380061068
R4,67821.56990536646
R5,322604.5084975873
R6,641349.522474638
