V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,469962.994163908,1277818.733510567,859251.8952027352,842568.196016415,902264.3917093344,199585.6771231238,255217.4356986324,1603467.5459376718,2426510.40086419,6938637.343839625,44433340.984988295,30.72730400125892,22.495001519968852,77.51002011664016,326.5800939247675,540.4399728803452,172.67958996353983,170.66483168359508,180.11514127169772,530.3548444898832,2193.4892557556154,3708.7339410018826,1213.604806324713,587.3326294202834,1556.8489313363498,8021.875850893872,34105.64838683586,366193.49489921116,660408.9618495074
0.0,465695.77143712994,1265365.447922161,853617.259913917,839369.5704927207,892075.9981951452,198938.62561540445,252486.9009080883,1595956.76527299,2421764.519724022,6947502.414155881,44399964.938099876,114.54043086035684,12.558806521285081,84.80204967390696,698.6862046037237,256.0097865419106,231.21421679216672,217.2240726863733,118.1270479187413,388.47105092749007,2111.86307076071,2219.2423226566584,894.5109389898266,634.2146690269874,1678.952457899175,8257.80727088965,35037.25075276585,363324.7521188818,657182.8231560561
0.0,461622.4961853091,1253046.7304072438,847936.8043750905,836133.5686450563,882054.4777543346,198105.3475684672,249806.2315782676,1588295.5036741577,2416588.899548725,6955970.692654421,44365611.865610786,226.0924755648622,24.669976265759516,107.71380276219553,812.8455991356659,303.0970729543045,600.565346706772,405.5220915948456,117.95963618373366,354.9305313713239,2407.0960924659316,1509.9810689699239,1217.320191950029,770.0295226069208,1779.7520046508039,8422.075495312385,36105.25058871205,359577.61015872,653939.3374633847
0.0,457689.5916464958,1240868.0135008118,842215.0307709295,832860.2178840651,872196.3538063267,196898.96342729454,247137.19906232084,1580328.7115444865,2410750.9492213824,6963535.179139916,44329008.441061445,413.31158399998725,53.73727318710457,194.2816797998106,1018.6518559948123,565.2606488141956,1431.7900292409,761.7843511240685,190.2592178555615,452.15062373092985,2833.513234766345,1529.7852305251588,2594.966046097647,1096.412123877173,1939.6656692396386,8609.783755046168,37439.27801546663,355623.8053758431,651389.3211485012
0.0,453818.3820943717,1228829.1243851467,836456.3324008407,829549.6366435827,862498.2163805088,195102.15895659098,244418.96102306244,1571754.063654855,2403460.2993824417,6969085.635961882,44288444.08309735,698.5857969185297,106.68293248087917,391.63657662788523,1534.8820455654186,1224.2908051507663,2840.671592117473,1346.1710449161287,355.59590817499185,791.1280484962633,3736.9857739013105,2503.951630417868,5517.057613325634,1738.7415868363007,2263.5482512251824,8980.55421941525,39266.32943010804,352163.66643136746,650639.3588690499
0.0,449905.32443990104,1216922.677105637,830664.8646840523,826202.0286088272,852956.7215807863,192536.41430805344,241596.53148187665,1562252.7133765519,2393325.236536879,6971364.425859246,44242601.36233933,1068.9149555870104,178.42345915435774,692.2722517000783,2529.950945529797,2264.4810660275107,4619.568533060379,2194.4330674265557,630.6740311122244,1462.8443839200481,5700.885101992508,4734.640672885641,10102.858636220371,2844.8424252234804,2890.125182578535,9791.65760321212,42228.035373662,350165.6116323535,653096.5705528196
0.0,445850.1262566308,1205134.8031367734,824844.4074128076,822817.6742595858,843568.5910016376,189406.39649502168,238684.20244192,1551838.950506361,2379798.6652116925,6970382.8454258125,44192277.00016032,1368.4433360363262,236.75771062818583,961.7017383933115,3585.1465598316613,3160.5304596633864,5941.815612219305,3157.5576607099374,977.8033501970791,2352.8324254526897,8727.638774629317,7765.456435471049,15313.211529283573,4508.19219035636,3966.3635771354984,11305.369291267192,47290.02504864999,350597.3441165066,659831.2893070367
0.0,441646.0373595043,1193451.3798725465,818998.2984700921,819396.9203330226,834330.611075796,186729.70449801505,235817.73792027953,1541190.0989972893,2365347.8492067032,6968620.730655365,44141989.55885598,1298.7614676064118,230.4290164435219,975.2531323846376,3651.636103909958,3099.8271972212883,5572.953583399363,3701.860716374086,1251.0847285515217,3013.332216914677,11138.38534785484,9891.183422900456,18420.07576584322,6537.5946884014,5550.9611578216445,13543.872752731857,54715.570902648156,353494.23854052124,670288.6050341218
0.0,437463.8496980564,1181869.400922161,813129.5589902534,815940.1699819915,825239.6323474601,185730.0326246905,233179.28672635433,1531312.9814672912,2354119.982125336,6969496.049356195,44097502.97484536,817.9778892725986,150.98495221259645,670.9742828871312,2417.2256278618306,1992.1718118133133,3454.157753946876,3279.462122464336,1260.6348063632147,2937.4564046089995,10698.692052406834,9379.088003530835,16803.80209704711,8294.310778256244,7479.531422855376,16084.347614641718,62907.39615912665,357258.7356369514,681384.1304439978
0.0,433562.80219099496,1170403.1836920818,807241.2164123136,812447.8779944786,816292.5686962098,186435.73891979398,230822.28580530907,1522574.3876072164,2347376.4297703183,6973907.542386876,44059913.30229144,323.8989975695943,63.56246864545714,300.750213202871,1002.8668356932146,809.3439103366902,1339.0174949857108,2139.2268653556257,988.527400701716,2161.9247094022357,7607.639273897214,6637.483714965042,11520.461382002217,9099.234663045016,9382.21766745466,18268.44391804117,69287.49894346122,359609.574991731,689213.1511435815
0.0,430098.3277665472,1159077.5933136095,801336.6074619001,808920.5530464941,807486.3965657362,187837.07171162436,228663.94301352915,1514489.287026434,2343004.7639392694,6980116.635214276,44025816.88536572,99.54991014065861,20.072098244973482,107.86980400459444,323.5698753965597,256.35570084383977,395.52192349308973,1089.5376790145226,629.1446356569767,1273.335692668505,4283.14318274688,3756.68732207403,6328.670847013769,8867.26012470081,10930.04845667051,19737.01636915325,72638.56147732103,359487.672535678,692253.643482353
0.0,427077.90206831903,1147917.5186557537,795419.4684473119,805358.7640551802,798818.1542459762,189192.07424049347,226626.46749349448,1506512.3934399437,2339021.733809464,6986557.896406159,43992470.46997229,57.53802996986825,10.007094493534044,71.73081185153109,193.28335063438368,148.93403321663774,209.6459416414309,517.6925253685181,356.57660516531683,705.1320222368696,2240.8476618183945,1974.9257566615768,3212.6891703216247,8037.5186156141135,12019.746867585514,20607.429097439446,73617.09849173468,357402.26721927244,691679.4837047879
0.0,424446.1739979337,1136943.3799162188,789493.8634476475,801763.1463233276,790284.9412227854,190316.53414823386,224681.9628064001,1498456.901530155,2334796.430197071,6992746.488558661,43959080.46756729,65.03805781172014,10.168805821905408,82.04003543997936,220.06226340696105,162.7520063289482,224.34027656674607,299.3800312406612,203.07994804933506,456.1647300104333,1346.7243938506035,1163.2100041483934,1794.3744323836352,7048.88787093454,12715.600369422795,21166.566489356886,73382.5795159891,354289.3585782331,689220.2380734422
0.0,422141.92472460965,1126170.9668045384,783564.0759201804,798134.4055194178,781883.9175821719,191200.61732328706,222820.303881208,1490320.5377941867,2330215.87145915,6998604.9846881665,43925448.23538826,88.27112006419671,12.926865159096748,93.31132252601621,282.23013582071485,198.73785025342622,305.6169389100021,252.3783041431257,132.98404831921965,372.3233966077918,1070.5003842701442,870.0450132836611,1297.2553363442546,6125.111185549022,13122.519628073707,21608.839066432403,72702.34528867608,350774.8673506424,685985.7278348755
0.0,420106.3790080433,1115611.860396641,777634.5108111073,794473.3194195625,773612.3034492276,191816.19842471072,221029.25884994454,1482100.3545381776,2325161.933387404,7004025.5608687075,43891276.82302585,137.33768992697543,19.359425123182884,110.85659815417989,392.18783120424047,276.77630323156126,499.1434640339616,304.64720199810233,115.25033975946974,362.8964436253235,1127.793575464799,858.272435576638,1365.093501777547,5354.4833566335565,13331.953362904758,22018.64191480837,71968.81572534435,347181.8964317332,682584.1279462678
