,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.5413602949680674,1.0000000006006666e-07,1.0000057001872521e-07,1.9999999999735156,1.0000044079834118e-07,4.107933825249621e-06
Group2,0.03986607181247539,1.000000000039638e-07,1.0000000019374716e-07,1.0000000000000001e-07,1.0032703223520333e-07,1.9995860894394795
Group3,1.0000000000000001e-07,0.78554014847487,1.0000000000000001e-07,1.0000000000000001e-07,0.028481054344485345,0.06689350776183792
Group4,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000013e-07,0.3550864491122869,1.9999999999477946,1.178426660290076e-05
Group5,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.17973884940485002,1.9999847992335238
Group6,0.015450715226565144,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000007714e-07
