,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.6255373142699997,1.999618496867978,0.17475159524091916,0.02902077752956903,0.015853312367760636,0.0677472663114072
Group2,0.24060316784716917,0.8832193899218225,0.00012145656409179599,5.409263794651143e-05,0.0003439798834962356,0.04567618925586748
Group3,0.0005294607435728937,0.3991069946119715,0.004222368571132161,0.010494711650122062,2.232761675675123e-05,0.010754656890962023
Group4,0.003099158821099105,0.005435455424117635,0.011074642366363267,0.0477680439451393,0.7301547834479671,0.484365377752794
Group5,0.009419546545885829,0.0044184488594171374,0.017289548716457423,0.010739681162827834,0.010962506656252608,0.08521192113991409
Group6,0.0017200484995486163,0.003581922037425186,0.005078741419004719,0.0054550818749537515,0.008252977591257331,1.1802206664936605e-05
