,0
V1,0.0
V2,937726.953261985
V3,1828942.8814344048
V4,1046220.3130593519
V5,1057593.058451863
V6,2295335.2099127225
S1,454176.6785202771
S2,429942.74702441576
S3,1728106.0850175733
S4,2249256.926177067
S5,5791374.919122159
S6,45988789.74922449
E1,2.020038132114351
E2,1.037012539245538
E3,0.44140751894353636
E4,0.09588993056585236
E5,0.005625317228213878
E6,0.03730060877860288
I1,6.245499202641186
I2,4.87474851096189
I3,1.928502630511667
I4,0.3937262566626991
I5,0.03058143778238798
I6,0.13763886129392877
R1,34.290479466950366
R2,123.29095913811709
R3,20394.375298830397
R4,116680.0073561871
R5,962887.4387521272
R6,883149.2116273573
