,Group1,Group2,Group3,Group4,Group5,Group6
Group1,1.0000013144297226e-07,1.999999999978006,5.291417329325123e-07,1.0745603597581666,1.9999999999999998,7.078590475255794e-05
Group2,1.0000000000000001e-07,1.0000000009970967e-07,1.000000000035799e-07,1.0000000000001193e-07,0.725801379671226,1.0000063738393656e-07
Group3,1.0000000000000001e-07,0.4606211711484519,1.0000000000000146e-07,1.0000000000000001e-07,0.13599815196557896,1.9999999999646203
Group4,1.0000000000000005e-07,1.7604644814286678,1.0000000008405589e-07,1.0000000000083308e-07,0.20517684622149499,1.9999999998649596
Group5,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,1.0000000000000001e-07,0.9591418926646942,1.0000000000071955e-07
Group6,1.0000000000000001e-07,1.0000000000004926e-07,1.0000000000000035e-07,1.0000000000000001e-07,0.06043487871702839,1.0000000010781895e-07
