V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,989784.1604385996,1854185.9131038764,1058053.9563798353,1063585.314324625,2296420.0067837406,454176.2697432926,377925.24152907496,1702985.280180086,2237465.053303281,5785386.027074419,45987623.22997691,2.027237067827107,1.0371203303745467,0.4373605612518639,0.09449521641217637,0.004349343085562612,0.037109239747478116,6.266715094108794,4.880590645145602,1.9145881711441846,0.3882745207942879,0.0257665319809134,0.13688475341014708,34.390079447509294,123.49819974857684,20394.241329666816,116679.88198804385,962887.5127676897,883144.3478452548
0.0,989193.098966091,1853367.9588273005,1056999.811095823,1059059.2650016565,2262749.375739294,453950.0494893553,377807.3001910974,1705678.9565310085,2244829.176844884,5809283.856672205,45990015.90726214,3.7335655761434587,1.6301379526674713,1.3631923084924122,0.31586522630964403,0.5136734235382943,8.136752281280524,7.917870360376857,5.370158569031561,3.071829517762728,0.6557668607816753,0.6963753443416449,10.882684072163753,34.249614263451285,125.48667790988,19816.123083813072,113737.17154857861,949330.4151770963,882009.6787844267
0.0,988221.8270721538,1852544.756986325,1055969.5126852137,1054625.4253129372,2229193.500814826,448490.617218622,377663.4940846495,1708301.660390492,2252058.0652363356,5832956.663558542,45982298.76081124,6.635463131976704,2.8647359493338604,2.304708043323292,0.6070171833573929,1.0389545188776579,15.88895937052842,12.715465471201284,7.742493597872361,5.211366294215176,1.2631812757966439,1.88462904772329,29.147127808700183,36.66254927582571,128.65680866187802,19256.288241586142,110867.97653701501,935940.0952829148,880602.332992989
0.0,986558.964674455,1851672.7486753655,1054959.8791291278,1050280.1676039933,2196229.0288501005,443862.5473168368,377451.5774914051,1710843.544063519,2259149.4131589625,5856395.085076555,45974203.87228213,12.271728308574282,5.31026682858156,4.150760848345989,1.1544266303023127,2.028940507747003,30.03374051992433,22.679123832173765,13.219741582931334,9.076230869262593,2.4093774781340036,3.9425041106467114,59.230003521471964,44.35656572068436,135.55986396682644,18715.26580491866,108070.71404527838,922714.1850006438,879119.6330296423
0.0,984366.7480098556,1850718.1408229817,1053968.789122242,1046021.7096911797,2163844.9893147363,439921.24179823237,377168.5916190554,1713300.4685513861,2266104.281870712,5879599.230886693,45965700.31628878,21.388163751204612,9.338540778557629,7.229558043500816,2.042107963517619,3.634986229311629,52.80531654342663,40.69902435808314,23.60171395632993,16.07762214437013,4.446231459909045,7.52881841046576,110.39789866175556,61.75664233934788,150.4866666571392,18194.89353721068,105344.32421736077,909652.4669145066,877577.5882430071
0.0,981777.1735620504,1849656.296652939,1052993.6034331243,1041848.2616107428,2132031.2459460003,436555.9955836951,376814.7685676621,1715669.2089600656,2272924.0018357476,5902569.980841091,45956781.329050645,31.474154994232606,13.943186818389508,10.826660598818616,3.047865156913405,5.451080674529023,78.60889394491963,66.15526577857817,39.18080416761926,26.492844074092734,7.405675907548533,12.68501952335699,183.44697932781517,93.8388519609164,179.35741275971208,17698.109331592063,102688.03650376823,896755.0851696716,875997.737963869
0.0,978898.9372188342,1848470.1616200954,1052031.3563959561,1037758.0196659769,2100777.837048769,433692.1889936117,376399.0105894936,1717952.5970595954,2279611.6433253717,5925311.590968284,45947487.644652165,35.36049655509496,15.986731784106514,12.570572596660549,3.481422028927539,6.230620864201041,89.91324356927068,88.68559955015182,54.931177807677045,36.960644906786406,10.273878243092238,17.59431159982883,253.09511586937498,140.63249180777203,226.46957023041,17226.914929929968,100100.78392190443,884021.4782198293,874391.9545907713
0.0,975824.3774070198,1847149.2461756216,1051078.9118056963,1033749.1617067042,2070074.9720984963,431284.2574462385,375938.2068541882,1720160.1014532412,2286172.094538106,5947831.657435242,45937907.6868174,28.326885977060563,13.149845617137126,10.5643190684919,2.844506240348197,5.081714084865299,73.85486661227687,92.02168235666053,61.14705958581978,40.965838300055644,11.210920709727072,19.04128124702474,274.0133083927727,190.73313562514727,288.43445537838244,16778.847999784994,97580.23582157862,871448.7583493734,872739.619262361
0.0,972632.5551304194,1845688.6853274931,1050133.0942012025,1029819.8454743699,2039913.0283817847,429281.63390919537,375444.8145777652,1722298.1693251324,2292609.1965190344,5970135.819302404,45928103.19515268,16.40140504417404,7.838582127038358,6.500101944287415,1.6829995826529007,2.996945308057789,44.11756850598875,73.05005528734225,53.414997225366,35.64100389134017,9.544407952874504,15.963276808736385,230.6024383657182,225.82191182496592,352.8311711681259,16346.534865170832,95122.8039682949,859031.9259062121,870990.3422505126
0.0,969387.6876481478,1844087.9381262788,1049190.792476427,1025968.2094150154,2010282.5476967122,427613.4507423818,374919.6662257215,1724363.3225533746,2298923.8798219445,5992224.540326864,45918062.23058787,8.493781598362732,4.122074030347462,3.5835548156956585,0.8857711835205999,1.573341966142811,23.57728682689008,47.40965595355609,38.56028352833515,25.779616212329827,6.7349689893053055,11.034764598745829,160.37381439485802,236.3899192276409,406.7778702441636,15923.012749126576,92725.232219571,846766.7810682018,869104.9350280402
