,0
V1,0.0
V2,880997.7966689655
V3,1792283.926047769
V4,1032035.3934614626
V5,973348.9918072023
V6,1599019.0626393945
S1,366403.27770215785
S2,357106.6724001199
S3,1744040.3277969093
S4,2383543.1155312187
S5,6316828.452517898
S6,45648477.51751599
E1,41.96203660919716
E2,20.930192045312012
E3,19.180799676066414
E4,5.265578618839632
E5,9.548411782738388
E6,134.65449712489385
I1,90.10964832792756
I2,65.68063413150712
I3,53.605573294810405
I4,14.247871499154732
I5,24.154760467099116
I6,343.75648179529725
R1,612.2650475141812
R2,1802.9434348650998
R3,11419.287523724563
R4,61824.299790014134
R5,670795.2403195328
R6,830828.1553485283
