,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.6250817712950019,1.9999600392480392,0.30643131718480576,0.007523565037450092,0.019616622149261877,0.011986834255493996
Group2,0.23273343017419626,1.1358091412103675,0.04356976330979626,0.04115259953009409,0.04127782590437329,0.013919369575667884
Group3,0.00013061951375441784,0.428476377642461,0.037315636565717326,0.02140909385798434,0.02896844659148688,0.010527211700354948
Group4,0.00932092368643005,0.020322676638853534,0.06940090794938299,0.043065791777798144,0.03685870976393527,0.011221529879690885
Group5,0.00584524218969846,0.01581787738755599,0.01133501339261754,0.0999127106221209,0.13431631378770445,0.0093726319114214
Group6,0.006764767124828498,0.03743941364850319,0.12985451835950124,0.15013541071273145,0.05869905419474287,0.006848040804275072
