,0
V1,0.0
V2,469962.994163908
V3,1277818.733510567
V4,859251.8952027352
V5,842568.196016415
V6,902264.3917093344
S1,199585.6771231238
S2,255217.4356986324
S3,1603467.5459376718
S4,2426510.40086419
S5,6938637.343839625
S6,44433340.984988295
E1,30.72730400125892
E2,22.495001519968852
E3,77.51002011664016
E4,326.5800939247675
E5,540.4399728803452
E6,172.67958996353983
I1,170.66483168359508
I2,180.11514127169772
I3,530.3548444898832
I4,2193.4892557556154
I5,3708.7339410018826
I6,1213.604806324713
R1,587.3326294202834
R2,1556.8489313363498
R3,8021.875850893872
R4,34105.64838683586
R5,366193.49489921116
R6,660408.9618495074
