,0
V1,0.0
V2,420106.3790080433
V3,1115611.860396641
V4,777634.5108111073
V5,794473.3194195625
V6,773612.3034492276
S1,191816.19842471072
S2,221029.25884994454
S3,1482100.3545381776
S4,2325161.933387404
S5,7004025.5608687075
S6,43891276.82302585
E1,137.33768992697543
E2,19.359425123182884
E3,110.85659815417989
E4,392.18783120424047
E5,276.77630323156126
E6,499.1434640339616
I1,304.64720199810233
I2,115.25033975946974
I3,362.8964436253235
I4,1127.793575464799
I5,858.272435576638
I6,1365.093501777547
R1,5354.4833566335565
R2,13331.953362904758
R3,22018.64191480837
R4,71968.81572534435
R5,347181.8964317332
R6,682584.1279462678
