V1,V2,V3,V4,V5,V6,S1,S2,S3,S4,S5,S6,E1,E2,E3,E4,E5,E6,I1,I2,I3,I4,I5,I6,R1,R2,R3,R4,R5,R6
0.0,495797.9719024067,1295669.2393263248,871183.1732515901,852435.1489951091,905413.4284506862,199440.07605425888,229043.64547586898,1585251.9959335285,2406307.447565928,6928094.074902552,44434005.03578505,55.234490005401895,33.539528244125854,112.91373385913904,706.4424879565983,716.653659502226,36.71848536126354,197.1808623955624,174.01180052042926,487.04233576830796,2982.059005120379,3112.4734095501153,187.26185853922027,660.7621798457396,1818.7701981639275,8332.188845668234,41211.84558094702,367333.2468537197,657457.9254703326
0.0,491309.7631775897,1283027.330582868,865472.3255405679,849237.4143527568,895246.6960751937,199056.1281732279,226526.42715982604,1577927.110493903,2403149.5033096615,6935929.0775374705,44400088.30411987,26.97578016674724,19.355004547843617,97.51635179303746,333.0713171417228,647.9012167396153,405.5904756046531,124.49166748741217,126.18045005321973,380.5471463254303,1984.6725451612517,2458.7247988914505,613.371703777802,679.1102860031118,1939.3783930588813,8555.504043379358,42291.58108282293,364441.9461869668,653696.3792033967
0.0,487077.00275002565,1270523.664342985,859714.6400290176,846000.7026054753,885246.4262438305,198671.82366724362,224039.09197606373,1570297.625430949,2399245.9281120347,6941627.818093706,44365130.98982128,46.342889241424636,30.10161397318461,163.26816168297472,492.5305052628112,1338.095736524854,754.7368520711066,114.34273386971164,111.94850850728858,426.44540487723424,1659.7304511257155,3048.1072290182224,1467.0613155938977,659.3336363812521,2022.9461199899363,8748.128881689194,42738.23629181495,361522.9609341117,650526.3134752947
0.0,483079.15462992544,1258167.3659239416,853914.7655425852,842725.0611749465,875409.1370383162,198242.66055300282,221560.34642559334,1562234.6304415597,2394309.7242142293,6942478.530670298,44328284.759285755,86.73061881492943,53.721779101741355,294.06304812913606,821.5534987647818,3183.241907102205,1461.4493134181482,167.68628290077717,142.93443431009422,640.464193018227,2013.5399559713405,5798.9962644671095,2876.579463728082,660.572891277249,2105.811175616764,9046.1866904256,43196.58210007701,359970.78649176523,648292.0070005418
0.0,479285.8255381067,1245964.2576647217,848077.3360931434,839410.6319236979,865731.4134297005,197663.84935333655,219020.0907250837,1553346.4276286152,2387308.540243603,6930581.008288381,44287091.091944546,170.1873043576926,107.08245832775334,578.9115689593594,1550.903990905245,8117.8845079436705,3091.363031202981,305.7517579547196,242.77249930581968,1150.9750345767386,3231.187401374781,13773.048230783388,5870.866001371363,735.0177878551474,2240.7126910539732,9633.436743839498,44284.15775641843,362686.58322697185,647858.8059166021
0.0,475648.4976877222,1233914.3067730747,842206.8786349884,836057.6476497285,856209.9067747114,196781.7129990254,216295.71029254672,1542950.298908573,2376400.1221341887,6890062.436307611,44237096.42391917,315.72381180718895,208.2344427151962,1109.0786736875175,2934.5205595225943,18750.242029274144,6240.936196876649,580.0402530307555,463.962984320791,2212.900555375232,5934.773164109551,33318.02937211198,12198.207273176635,957.943786562214,2519.9814871412623,10860.965483372649,46968.51346851838,376584.3867752332,651336.8468934204
0.0,472104.51443537674,1222010.3637283149,836307.6770496545,832666.4262733061,846841.3342837882,195571.0149749561,213324.86696640708,1530686.0030171496,2360533.5799600426,6808986.583240488,44175375.281089336,466.1760121543026,322.3955015928194,1699.4154362569247,4499.877887456049,32007.414678793608,9875.5595348002,977.8322453852138,820.1649377473943,3872.5770639656675,10258.43351906823,67575.64594383341,22401.36249168637,1417.7936439815726,3080.7550582030162,13248.724885913867,52640.6769105772,413528.8874988093,662144.6899444663
0.0,468626.56980701385,1210246.0773373654,830383.6939019635,829237.3626385104,837622.4784405322,194509.1802976959,210398.16382873835,1518140.8662738358,2343842.0892359647,6716984.131174046,44110613.320706256,433.0431997859543,310.6746134526677,1624.0642184526307,4312.028286246724,32171.47259379118,9634.418946456415,1233.075427856041,1108.9465091829713,5127.546172438515,13560.40835374526,96684.78497336632,30606.160544885963,2086.043925144132,3991.569073771225,16957.011985308112,61746.401234083016,479465.7814200316,681832.819194946
0.0,465290.93474532623,1198632.8455849611,824438.7746312849,825770.9214976421,828550.1863653034,194303.78338972412,208032.22567916327,1508221.5975537617,2334074.8987200335,6675693.421593542,44060433.079164125,171.31299787816283,128.90987525568485,660.1937662894816,1755.1083466769933,13354.995059696419,3985.6756559394494,985.2137706607527,988.5767310047215,4384.713349098187,11586.104346727292,85530.24895464742,26850.876220544844,2655.9055211340715,5035.601649622591,20895.802886837348,71409.36371014704,553756.7592045881,704273.3406425858
0.0,462217.5415415158,1187197.9705165115,818477.0535053462,822267.6376523958,819621.3691596952,194744.05036459607,206167.0862872252,1500685.8644145748,2330638.8133263616,6683411.16167542,44024530.35042139,11.754137394489904,10.90194860548793,50.40683287096263,133.6845631777292,1026.2858521732228,313.0218380462484,454.0780211545825,556.7373096830415,2287.808341256633,6023.06002787909,45068.79204825885,14415.855549308493,2783.5046656605414,5811.403799652894,23405.156320053433,77232.94701004929,601677.5494736179,719107.4246956601
