,0
V1,0.0
V2,495797.9719024067
V3,1295669.2393263248
V4,871183.1732515901
V5,852435.1489951091
V6,905413.4284506862
S1,199440.07605425888
S2,229043.64547586898
S3,1585251.9959335285
S4,2406307.447565928
S5,6928094.074902552
S6,44434005.03578505
E1,55.234490005401895
E2,33.539528244125854
E3,112.91373385913904
E4,706.4424879565983
E5,716.653659502226
E6,36.71848536126354
I1,197.1808623955624
I2,174.01180052042926
I3,487.04233576830796
I4,2982.059005120379
I5,3112.4734095501153
I6,187.26185853922027
R1,660.7621798457396
R2,1818.7701981639275
R3,8332.188845668234
R4,41211.84558094702
R5,367333.2468537197
R6,657457.9254703326
