,Group1,Group2,Group3,Group4,Group5,Group6
Group1,0.11731044982443163,0.8979793401458236,1.0522828567341076,0.031326896343680924,0.024534104580040204,0.8300400896534733
Group2,0.054717308039032186,0.06208078833023986,0.023112495548822696,0.23097172101630806,0.12549250146136973,0.12288787479029979
Group3,0.015406747186601106,0.10177832543835276,0.1975683630708946,0.1735583678300277,0.06965334688283209,0.24657634477962612
Group4,4.595579958875835e-06,0.015578550553312882,5.226149872350026e-05,0.5633537917976588,0.1402963199451013,0.0011253947065278545
Group5,0.014157675440041697,0.025690779013546626,0.023348126647153914,0.007743329884506087,0.870836751472183,0.10129643436905439
Group6,0.009099539486273124,0.08132906066291128,0.016217477207450575,0.0002601071154971761,0.01902148457097579,0.0447073440153133
